,,COUNTRY,DOB,HT/WT,NICKNAME,REACH,STANCE,TEAM,WEIGHT,WT CLASS
ali-bagautinov,,Russia,6/12/1985 (34),"5' 4"", 125 lbs",Puncher,"65.5""",Orthodox,Fight Nights Team,,Flyweight
kevin-souza,,Brazil,10/17/1984 (35),"6' 0"", 155 lbs",Kevin,"74""",Orthodox,,,Featherweight
ramiro-hernandez,,USA,7/22/1986 (33),"5' 9"", 145 lbs",Junior,"69""",Orthodox,Miletich Martial Arts,,Bantamweight
elias-silverio,,Brazil,9/22/1986 (33),"5' 9"", 155 lbs",Xuxu,"73""",Orthodox,,,Lightweight
ivan-jorge,,Brazil,11/11/1980 (38),"5' 9"", 155 lbs",,"73""",Orthodox,,,Lightweight
wilson-reis,,Brazil,1/6/1985 (34),"5' 4"", 125 lbs",,"65""",Southpaw,Brazilian Jiu-Jitsu United,,Flyweight
jesse-ronson,,Canada,12/24/1985 (33),"5' 9"", 155 lbs",The Body Snatcher,"72""",Southpaw,Adrenaline Training Center,,Lightweight
nandor-guelmino,,,,,,,,,,
daniel-omielanczuk,,,,,,,,,,
igor-araujo,,Brazil,12/6/1980 (38),"6' 1"", 185 lbs",,"77""",Orthodox,Jackson-Wink MMA,,Welterweight
yan-cabral,,Brazil,5/13/1983 (36),"5' 11"", 155 lbs",,"73""",Orthodox,Nova Uniao,,Lightweight
alan-patrick,,Brazil,7/19/1983 (36),"5' 11"", 155 lbs",Nuguette,"74""",Southpaw,X-Gym,,Lightweight
garett-whiteley,,USA,,,,"72""",Orthodox,,,
darrell-montague,,USA,11/3/1987,,The Mongoose,"67""",Southpaw,Millennia MMA,,Flyweight
sarah-kaufman,,Canada,9/20/1985 (34),"5' 5"", 155 lbs",,"67""",Orthodox,Zugec Ultimate Martial Arts,,Women's Bantamweight
jessica-eye,,USA,7/27/1986 (33),"5' 6"", 125 lbs",Evil,"66""",Orthodox,Xtreme Couture,,Women's Flyweight
andre-fili,,USA,6/25/1990 (29),"5' 11"", 145 lbs",Touchy,"74""",Orthodox,Team Alpha Male,,Featherweight
kyoji-horiguchi,,Japan,10/12/1990 (29),"5' 5"", 135 lbs",,"66""",Orthodox,American Top Team,,Flyweight
nico-musoke,,Sweden,4/5/1986 (33),"6' 0"", 170 lbs",Nico,"75""",Orthodox,Allstars Training Center,,Welterweight
robert-whiteford,,Scotland,4/12/1983 (36),"5' 10"", 145 lbs",The Hammer,"69""",Southpaw,American Top Team,,Featherweight
bradley-scott,,England,6/22/1989 (30),"6' 1"", 170 lbs",Bear,"76""",,Combat Sports Academy,,Welterweight
brian-houston,,USA,4/26/1981 (38),"6' 1"", 185 lbs",B-Hue,"78""",Orthodox,Disorderly Conduct,,Middleweight
santiago-ponzinibbio,,Argentina,9/26/1986 (33),"6' 0"", 170 lbs",Gente Boa,"73""",Orthodox,American Top Team,,Welterweight
omari-akhmedov,,Russia,10/12/1987 (32),"6' 0"", 185 lbs",Wolverine,"73""",Orthodox,American Top Team,,Middleweight
adriano-martins,,Brazil,6/12/1982 (37),"5' 10"", 155 lbs",,"72""",Southpaw,Top Life Amazonas,,Lightweight
dustin-ortiz,,USA,12/25/1988 (30),"5' 5"", 125 lbs",,"65""",Orthodox,Combat Sports Academy,,Flyweight
anthony-lapsley,,,,,,,,,,
sergio-pettis,,USA,8/18/1993 (26),"5' 6"", 125 lbs",The Phenom,"69""",Orthodox,Roufusport,,Bantamweight
davey-grant,,England,12/18/1985 (33),"5' 8"", 135 lbs",Dangerous,"69""",,North East Top Team,,Bantamweight
chris-holdsworth,,USA,10/24/1987,,Holds It Down,"71""",,Marc Laimon's Cobra Kai,,Bantamweight
jessamyn-duke,,USA,6/24/1986 (33),"5' 11"", 135 lbs",The Gun,"73""",,,,Women's Bantamweight
peggy-morgan,,USA,,"6' 1"", 145 lbs",The Daywalker,,,,,
roxanne-modafferi,,USA,9/24/1982 (37),"5' 7"", 125 lbs",The Happy Warrior,"69""",Orthodox,Syndicate MMA,,Women's Flyweight
raquel-pennington,,USA,9/5/1988 (31),"5' 7"", 135 lbs",Rocky,"67.5""",Orthodox,Altitude MMA,,Women's Bantamweight
tom-niinimaki,,,,,,,,,,
walt-harris,,USA,6/10/1983 (36),"6' 5"", 255 lbs",The Big Ticket,"77""",Southpaw,Spartan Fitness,,Heavyweight
jared-rosholt,,USA,8/4/1986 (33),"6' 2"", 245 lbs",The Big Show,"75.5""",Orthodox,Team Takedown,,Heavyweight
drew-dober,,USA,10/19/1988 (31),"5' 8"", 155 lbs",,"70""",Southpaw,Elevation Fight Team,,Lightweight
josh-sampo,,USA,7/24/1984 (35),"5' 5"", 135 lbs",The Gremlin,"64""",Orthodox,St. Charles MMA,,Flyweight
ryan-benoit,,USA,8/25/1989 (30),"5' 5"", 125 lbs",Baby Face,"68.5""",Orthodox,Janjira Muay Thai,,Flyweight
bethe-correia,,Brazil,6/22/1983 (36),"5' 5"", 135 lbs",Pitbull,"64""",Orthodox,CM System,,Women's Bantamweight
richie-vaculik,,Australia,6/19/1983 (36),"5' 6"", 125 lbs",Vas,"69.5""",Orthodox,TP Fight Team,,Flyweight
justin-scoggins,,USA,5/2/1992 (27),"5' 5"", 125 lbs",Skywalker,"66""",Southpaw,American Top Team,,Flyweight
bruno-santos,,Brazil,7/17/1987 (32),"5' 9"", 185 lbs",Carioca,"69.5""",Orthodox,,,Middleweight
krzysztof-jotko,,Poland,8/19/1989 (30),"6' 1"", 185 lbs",,"77""",Southpaw,American Top Team,,Middleweight
ben-wall,,Australia,3/25/1989 (30),"5' 10"", 155 lbs",Manimal,"73""",Orthodox,,,Lightweight
alex-garcia,,Dominican Republic,7/14/1987 (32),"5' 9"", 170 lbs",The Dominican Nightmare,"72""",Orthodox,TriStar Gym,,Welterweight
zach-makovsky,,USA,6/30/1982 (37),"5' 8"", 125 lbs",Fun Size,"64""",Southpaw,TriStar Gym,,Flyweight
alptekin-ozkilic,,USA,3/27/1986 (33),"5' 7"", 125 lbs",THE TURKISH DELIGHT,"65""",Orthodox,St. Charles MMA,,Flyweight
katsunori-kikuno,,,,,,,,,,
will-chope,,USA,9/8/1990 (29),"6' 4"", 155 lbs",,"76""",Switch,,,Featherweight
mairbek-taisumov,,Russia,8/8/1988 (31),"5' 9"", 155 lbs",Beckan,"73""",Orthodox,Team Taisumov,,Lightweight
tae-hyun-bang,,,,,,,,,,
tarec-saffiedine,,Belgium,9/6/1986 (33),"5' 10"", 170 lbs",Sponge,"70""",Switch,Team Quest -Portland,,Welterweight
tatsuya-kawajiri,,Japan,5/8/1978 (41),"5' 7"", 145 lbs",The Crusher,"69""",Orthodox,,,Featherweight
sean-soriano,,USA,10/6/1989 (30),"5' 9"", 145 lbs",,"70""",Orthodox,Blackzilians,,Featherweight
kiichi-kunimoto,,,,,,,,,,
luiz-dutra,,,,,,,,,,
shunichi-shimizu,,Japan,1/31/1985 (34),"5' 6"", 135 lbs",,"66""",Orthodox,,,Bantamweight
royston-wee,,Singapore,11/15/1986,,,"67""",Orthodox,,,Bantamweight
dave-galera,,Philippines,1/12/1978,,,,Orthodox,,,Bantamweight
jon-delos-reyes,,Guam,8/19/1987 (32),"5' 6"", 125 lbs",,"67""",Orthodox,,,Flyweight
leandro-issa,,Brazil,9/19/1983 (36),"5' 6"", 135 lbs",Brodinho,"69""",Orthodox,Evolve MMA,,Bantamweight
russell-doane,,USA,8/13/1986 (33),"5' 7"", 135 lbs",,"70.5""",Orthodox,Hawaii Elite MMA,,Bantamweight
beneil-dariush,,Iran,5/6/1989 (30),"5' 10"", 155 lbs",,"72""",Southpaw,Wand Fight Team,,Lightweight
louis-smolka,,USA,7/16/1991 (28),"5' 9"", 135 lbs",Da Last Samurai,"68.5""",Orthodox,Team Oyama,,Bantamweight
george-sullivan,,USA,3/13/1981 (38),"6' 0"", 170 lbs",The Silencer,"73.5""",Orthodox,Pellegrino MMA,,Welterweight
mike-rhodes,,USA,12/4/1989 (29),"6' 0"", 205 lbs",Biggie,"74.5""",Orthodox,Roufusport,,Welterweight
danny-martinez,,USA,6/14/1985 (34),"5' 5"", 125 lbs",The Gremlin,"67""",Orthodox,Alliance MMA,,Flyweight
kevin-lee,,USA,9/4/1992 (27),"5' 9"", 155 lbs",The Motown Phenom,"77""",Orthodox,Xtreme Couture,,Lightweight
andy-enz,,USA,8/15/1991,,Tank Mode,"78""",Orthodox,Gracie Barra Alaska,,Middleweight
rashid-magomedov,,Russia,5/14/1984 (35),"5' 9"", 155 lbs",Goretz,"70.5""",Orthodox,Gorets,,Lightweight
anthony-rocco-martin,,USA,12/11/1989 (29),"6' 0"", 170 lbs",,"73.5""",Orthodox,American Top Team,,Welterweight
gasan-umalatov,,,,,,,,,,
takenori-sato,,,,,,,,,,
albert-tumenov,,,,,,,,,,
zubaira-tukhugov,,Russia,1/15/1991 (28),"5' 8"", 145 lbs",Warrior,"68""",Orthodox,Tiger Muay Thai,,Featherweight
douglas-silva-de-andrade,,Brazil,6/22/1985 (34),"5' 7"", 135 lbs",D'Silva,"68""",Orthodox,Corinthians MMA,,Bantamweight
patrick-cummins,,USA,11/16/1980 (38),"6' 2"", 205 lbs",Durkin,"76.5""",Orthodox,Reign MMA,,Light Heavyweight
pedro-munhoz,,Brazil,9/7/1986 (33),"5' 6"", 135 lbs",The Young Punisher,"65""",Orthodox,American Top Team,,Bantamweight
cody-gibson,,USA,9/11/1987 (32),"5' 10"", 145 lbs",The Renegade,"71""",Orthodox,,,Bantamweight
aljamain-sterling,,USA,7/31/1989 (30),"5' 7"", 135 lbs",Funk Master,"71""",Orthodox,Serra-Longo Fight Team,,Bantamweight
yosdenis-cedeno,,Cuba,2/12/1985 (34),"5' 8"", 155 lbs",Pink Panther,"69.5""",Orthodox,MMA Masters,,Lightweight
ernest-chavez,,USA,,"5' 8"", 155 lbs",EJ,"70""",Orthodox,Total MMA Studios,,Lightweight
sai-wang,,China,1/16/1986,,The Fire Kylin,"72""",Southpaw,China Top Team,,Welterweight
lipeng-zhang,,China,3/10/1990 (29),"5' 11"", 155 lbs",,"71""",Southpaw,Fight Emperor,,Lightweight
yui-chul-nam,,Korea,7/16/1981 (38),"5' 9"", 145 lbs",The Korean Bulldozer,"69""",Orthodox,Team Posse,,Featherweight
anying-wang,,China,4/4/1991,,,,Orthodox,,,Welterweight
albert-cheng,,Canada,,,,,Orthodox,,,
jumabieke-tuerxun,,,,,,,,,,
mark-eddiva,,Philippines,2/16/1986 (33),"5' 8"", 145 lbs",,"68""",Orthodox,Lakay MMA,,Featherweight
neil-seery,,Ireland,8/30/1979 (40),"5' 6"", 125 lbs",2 Tap,"64.5""",Orthodox,Team Ryano MMA,,Flyweight
mats-nilsson,,Sweden,12/5/1983,,,"74.5""",Orthodox,Rumble Sports,,Welterweight
claudio-silva,,Brazil,9/6/1982 (37),"5' 11"", 170 lbs",Hannibal,"71""",Southpaw,Nova Uniao,,Welterweight
danny-mitchell,,England,8/8/1986,,The Cheesecake Assassin,,Orthodox,AVT Fight Team,,
francisco-trevino,,USA,12/17/1981 (37),"5' 10"", 170 lbs",Sitkayan,"70""",Orthodox,Macaco Gold Team,,Lightweight
sean-strickland,,USA,2/27/1991 (28),"6' 1"", 170 lbs",Tarzan,"76""",Orthodox,CQuence Jiu-Jitsu,,Welterweight
hans-stringer,,,,,,,,,,
noad-lahat,,Israel,6/8/1984 (35),"5' 8"", 145 lbs",Neo,"69""",Orthodox,AKA (American Kickboxing Academy),,Featherweight
jim-alers,,USA,10/14/1986 (33),"5' 9"", 145 lbs",The Beast,"71""",Orthodox,Alliance Jiu-Jitsu,,Featherweight
alan-omer,,,9/14/1988 (31),"5' 9"", 145 lbs",,"71""",Orthodox,,,Featherweight
sheldon-westcott,,Canada,8/20/1984 (35),"6' 1"", 170 lbs",,"71""",Southpaw,Complete Martial Arts and Fitness,,Welterweight
elias-theodorou,,Canada,5/31/1988 (31),"6' 1"", 185 lbs",The Spartan,"75.5""",Orthodox,TriStar Gym,,Middleweight
chad-laprise,,,,,,,,,,
olivier-aubin-mercier,,Canada,2/23/1989 (30),"5' 9"", 155 lbs",The Canadian Gangster,"70.5""",Southpaw,TriStar Gym,,Lightweight
leslie-smith,,USA,8/17/1982 (37),"5' 9"", 145 lbs",The Peacemaker,"66""",Orthodox,El Nino Training Center,,Women's Bantamweight
sean-oconnell,,,9/2/1983 (36),"6' 2"", 205 lbs",The Real OC,"74""",Orthodox,,,
mike-de-la-torre,,USA,9/22/1986 (33),"6' 0"", 155 lbs",El Cucuy,"71""",Orthodox,,,Featherweight
nordine-taleb,,Canada,6/10/1981 (38),"6' 1"", 170 lbs",,"74.5""",Orthodox,TriStar Gym,,Welterweight
vik-grujic,,Australia,,"6' 0"", 170 lbs",,"73""",Orthodox,,,Welterweight
richard-walsh,,Australia,12/1/1988 (30),"6' 0"", 170 lbs",Filthy,"73""",,,,Welterweight
chris-indich,,Australia,4/22/1987,,,"73""",,The Arena,,Welterweight
tim-gorman,,USA,4/29/1983,,,"68.5""",Southpaw,Des Moines MMA Academy,,Bantamweight
alex-white,,USA,10/22/1988 (30),"6' 0"", 155 lbs",The Spartan,"71.5""",Southpaw,Team Destruction,,Lightweight
luke-zachrich,,,,,,,,,,
hernani-perpetuo,,Brazil,5/24/1985 (34),"6' 0"", 170 lbs",,,Orthodox,Nova Uniao,,
ray-borg,,USA,8/4/1993 (26),"5' 4"", 135 lbs",The Tazmexican Devil,"63""",Orthodox,Fit NHB,,Bantamweight
chas-skelly,,USA,5/11/1985 (34),"5' 11"", 145 lbs",The Scrapper,"72.5""",Orthodox,Team Takedown,,Featherweight
mirsad-bektic,,Bosnia & Herzegovina,2/16/1991 (28),"5' 8"", 145 lbs",,"70""",Orthodox,TriStar Gym,,Featherweight
derrick-lewis,,USA,2/7/1985 (34),"6' 3"", 265 lbs",The Black Beast,"79""",Orthodox,Silverback Fight Club,,Heavyweight
jack-may,,USA,4/14/1981 (38),"6' 8"", 260 lbs",The Outlaw,,Switch,CSW,,
chris-beal,,USA,8/6/1985 (34),"5' 7"", 135 lbs",The Real Deal,"69""",Orthodox,KnuckleHeadz Boxing,,Flyweight
patrick-williams,,USA,9/7/1981 (38),"5' 8"", 135 lbs",The Animal,"73""",Orthodox,American Top Team,,Bantamweight
ruan-potts,,South Africa,2/23/1978,,Fangzz,"75""",Orthodox,Mark Robinson MMA,,Heavyweight
aaron-phillips,,USA,8/5/1989,,The Model,"70""",Southpaw,Gladiators Training Academy,,Featherweight
li-jingliang,,China,3/20/1988 (31),"6' 0"", 170 lbs",The Leech,"71.5""",Orthodox,China Top Team,,Welterweight
david-michaud,,USA,11/10/1988 (30),"5' 9"", 170 lbs",Bulldawg,"72""",Orthodox,MMA LAB,,Lightweight
niklas-backstrom,,Sweden,8/22/1989 (30),"6' 0"", 145 lbs",,"74""",Orthodox,,,Featherweight
nick-hein,,Germany,4/24/1984 (35),"5' 6"", 155 lbs",Sergeant,"66.5""",Southpaw,Clube do Leao,,Lightweight
pawel-pawlak,,Poland,2/8/1989,,,"73""",Orthodox,,,Welterweight
ruslan-magomedov,,Russia,11/26/1986,,Leopard,"78""",Orthodox,Fight Club Berkut,,Heavyweight
viktor-pesta,,Czech Republic,7/15/1990 (29),"6' 4"", 242 lbs",,"77""",Orthodox,,,Heavyweight
vitor-miranda,,Brazil,3/10/1979 (40),"6' 1"", 185 lbs",Lex Luthor,"77""",Orthodox,Team Nogueira,,Middleweight
antonio-carlos-junior,,Brazil,3/16/1990 (29),"6' 2"", 185 lbs",Cara de Sapato,"79""",Orthodox,American Top Team,,Heavyweight
marcio-alexandre-jr,,Brazil,5/3/1989 (30),"6' 1"", 185 lbs",Lyoto,"75""",Southpaw,,,
warlley-alves,,Brazil,1/4/1991 (28),"5' 11"", 170 lbs",,"72""",Orthodox,X-Gym,,Welterweight
alexander-yakovlev,,Russia,7/18/1984 (35),"6' 3"", 155 lbs",Thunder of the North,"74""",Southpaw,K Dojo,,Lightweight
ricardo-abreu,,Brazil,4/27/1984,,Demente,,Orthodox,,,
wagner-silva,,Brazil,2/7/1987,,Wagnao,,Orthodox,,,
marcos-rogerio-de-lima,,Brazil,6/25/1985 (34),"6' 1"", 255 lbs",Pezao,"75""",Orthodox,011 MMA Team,,Light Heavyweight
richardson-morreira,,Brazil,3/31/1984,,Rick Monstro,"72""",Orthodox,,,Middleweight
matt-hobar,,USA,1/7/1987,,The Crowbar,"70.5""",Southpaw,,,Bantamweight
jake-lindsey,,USA,6/21/1986 (33),"5' 11"", 170 lbs",,"71""",Switch,,,Lightweight
roger-narvaez,,USA,9/9/1983 (36),"6' 3"", 185 lbs",The Silverback,"79.5""",Southpaw,Full Contact Fight Academy,,Middleweight
valerie-letourneau,,Canada,4/29/1983 (36),"5' 7"", 125 lbs",Trouble,"68.5""",Orthodox,American Top Team,,Women's Strawweight
elizabeth-phillips,,USA,8/20/1986 (33),"5' 6"", 135 lbs",,"65""",Orthodox,Sikjitsu,,Women's Bantamweight
kajan-johnson,,Canada,4/21/1984 (35),"5' 11"", 155 lbs",Ragin,"75.5""",Orthodox,TriStar Gym,,Lightweight
michinori-tanaka,,Japan,10/4/1990 (29),"5' 5"", 135 lbs",,"67.5""",Orthodox,Reversal Gym Yokohama Ground Slam,,Bantamweight
josh-shockley,,USA,,,,"74.5""",Orthodox,Duneland Vale Tudo,,Lightweight
jason-saggo,,Canada,11/23/1985 (33),"5' 11"", 155 lbs",,"71""",Orthodox,Wulfrun MMA,,Lightweight
joe-ellenberger,,USA,3/28/1985,,Excalibur,"72""",Orthodox,,,Lightweight
james-moontasri,,USA,4/10/1988 (31),"5' 10"", 170 lbs",Moonwalker,"71""",Switch,Black House,,Welterweight
diego-ferreira,,Brazil,1/18/1985 (34),"5' 9"", 155 lbs",,"74""",Orthodox,Fortis MMA,,Lightweight
shane-howell,,,,,,,,,,
aleksei-oleinik,,Russia,6/20/1977 (42),"6' 2"", 240 lbs",The Boa Constrictor,"80""",Orthodox,K Dojo,,Heavyweight
anthony-hamilton,,USA,4/14/1980 (39),"6' 5"", 260 lbs",Freight Train,"76""",Orthodox,,,Heavyweight
jake-matthews,,Australia,8/19/1994 (25),"5' 11"", 170 lbs",The Celtic Kid,"73""",Orthodox,Nexus,,Welterweight
dashon-johnson,,USA,1/25/1988,,Fly Boy,"70.5""",Orthodox,Team Xplode MMA,,Featherweight
roldan-sangchaan,,Philippines,12/4/1990,,The Executioner,"65""",Orthodox,Lakay MMA,,Flyweight
rodrigo-de-lima,,Brazil,5/19/1992 (27),"5' 9"", 155 lbs",Monstro,,Orthodox,Coalizao Fight Team,,Welterweight
dan-hooker,,New Zealand,2/13/1990 (29),"6' 0"", 155 lbs",The Hangman,"75""",Switch,City Kickboxing,,Lightweight
ian-entwistle,,England,11/19/1986 (32),"5' 9"", 135 lbs",Enty,"64""",Orthodox,APEX MMA,,Bantamweight
rob-font,,USA,6/25/1987 (32),"5' 8"", 135 lbs",,"71.5""",Orthodox,Team Sityodtong,,Bantamweight
guilherme-vasconcelos,,Brazil,3/23/1986 (33),"6' 0"", 170 lbs",,"74""",Orthodox,,,Middleweight
bubba-bush,,USA,7/24/1985 (34),"6' 0"", 185 lbs",The Fighting Texas Aggie,"73.5""",Orthodox,Brazos Valley MMA,,Middleweight
matt-van-buren,,USA,6/12/1986 (33),"6' 5"", 205 lbs",Gutter,"76.5""",,Alliance MMA,,Light Heavyweight
corey-anderson,,USA,9/22/1989 (30),"6' 3"", 205 lbs",Overtime,"79""",Orthodox,Ricardo Almeida Jiu-Jitsu,,Light Heavyweight
dhiego-lima,,Brazil,1/31/1989 (30),"6' 2"", 170 lbs",,"75""",Orthodox,American Top Team Atlanta,,Welterweight
eddie-gordon,,USA,7/22/1983 (36),"6' 0"", 185 lbs",Truck,"76.5""",Orthodox,Serra-Longo Fight Team,,Middleweight
guto-inocente,,Brazil,5/29/1986,,,"77.5""",Orthodox,Blackzilians,,Light Heavyweight
juan-puig,,Mexico,4/23/1989,,Fenix,"72""",Orthodox,,,Featherweight
dan-spohn,,USA,10/12/1984 (35),"6' 4"", 205 lbs",Dragon,"79""",Southpaw,Cambridge Martial Arts,,Light Heavyweight
patrick-walsh,,USA,11/28/1988 (30),"6' 0"", 230 lbs",The Beast of the East,"71.5""",,Wai Kru MMA,,Middleweight
sarah-moras,,Canada,4/30/1988 (31),"5' 7"", 135 lbs",Cheesecake,"67""",Orthodox,Toshida MMA,,Women's Bantamweight
alexis-dufresne,,USA,8/31/1990 (29),"5' 9"", 145 lbs",,"68.5""",Orthodox,Team Quest -Portland,,Women's Bantamweight
robert-drysdale,,USA,1/1/1981 (38),"6' 3"", 205 lbs",,"78.5""",Orthodox,,,Light Heavyweight
keith-berish,,USA,11/14/1985 (33),"6' 0"", 185 lbs",Sha Bang Bang,"73.5""",Orthodox,Black & Blue MMA,,Middleweight
jerrod-sanders,,USA,10/1/1979 (40),"5' 8"", 135 lbs",J-Reazie,"72""",Orthodox,American Top Team OKC,,Bantamweight
claudia-gadelha,,Brazil,12/7/1988 (30),"5' 4"", 115 lbs",Claudinha,"63.5""",Orthodox,Jackson-Wink MMA,,Women's Strawweight
tina-lahdemaki,,Finland,5/28/1988,,Jelly Bean,,Orthodox,RNC Sport Club,,
chris-dempsey,,USA,9/8/1987 (32),"5' 11"", 185 lbs",,"72""",Orthodox,Cold Steel MMA,,Middleweight
cathal-pendred,,Ireland,9/2/1987 (32),"6' 2"", 170 lbs",,"75""",Orthodox,,,Welterweight
mike-king,,Guam,,,,"75""",,,,Middleweight
patrick-holohan,,Ireland,5/3/1988 (31),"5' 9"", 125 lbs",The Hooligan,"69""",Orthodox,SBG Ireland,,Flyweight
brian-ortega,,USA,2/21/1991 (28),"5' 8"", 145 lbs",T-City,"69""",Switch,Black House,,Featherweight
akbarh-arreola,,Mexico,1/14/1983 (36),"5' 10"", 155 lbs",El Caballero,"71""",Southpaw,Entram Gym,,Lightweight
tiago-trator,,Brazil,3/12/1987 (32),"5' 9"", 145 lbs",Trator,"70.5""",Orthodox,Team Nogueira,,Featherweight
andreas-stahl,,Sweden,5/20/1988 (31),"5' 11"", 170 lbs",Real Steel,"73""",Orthodox,,,Welterweight
gilbert-burns,,Brazil,7/20/1986 (33),"5' 10"", 170 lbs",Durinho,"71""",Orthodox,Hard Knocks 365,,Lightweight
juliana-lima,,Brazil,3/15/1982 (37),"5' 5"", 115 lbs",Ju Thai,"65.5""",Orthodox,Gracie Barra BH,,Women's Strawweight
joanna-jedrzejczyk,,Poland,8/18/1987 (32),"5' 6"", 115 lbs",,"65.5""",Orthodox,American Top Team,,Women's Flyweight
alan-jouban,,USA,11/25/1981 (37),"6' 0"", 170 lbs",Brahma,"73.5""",Southpaw,Black House,,Welterweight
lauren-murphy,,USA,7/27/1983 (36),"5' 5"", 125 lbs",Lucky,"67""",Orthodox,MMA LAB,,
sam-alvey,,USA,5/6/1986 (33),"6' 2"", 205 lbs",Smile'N,"75.5""",Southpaw,Team Quest -Portland,,Light Heavyweight
frankie-saenz,,USA,8/12/1980 (39),"5' 6"", 135 lbs",,"66""",Orthodox,Triton Fight Center,,Bantamweight
nolan-ticman,,USA,5/17/1988,,,"69""",Orthodox,,,Flyweight
brendan-oreilly,,Australia,6/24/1987 (32),"5' 9"", 155 lbs",The Badger,"69""",Orthodox,,,Welterweight
guangyou-ning,,China,12/15/1981 (37),"5' 8"", 135 lbs",Smasher,"64""",Southpaw,,,Bantamweight
jianping-yang,,China,1/7/1986,,,,Orthodox,Fight Emperor,,
alberto-mina,,Brazil,5/2/1982 (37),"6' 0"", 170 lbs",Soldier of God,"77.5""",Orthodox,Epic MMA,,Welterweight
shinsho-anzai,,Japan,12/1/1985 (33),"5' 7"", 170 lbs",Animal,"70.5""",Orthodox,Team Climb,,Welterweight
ulka-sasaki,,Japan,10/7/1989 (30),"5' 10"", 125 lbs",Ulka,"71""",Southpaw,Wajutsu Keishukai Tokyo,,Flyweight
colby-covington,,USA,2/22/1988 (31),"5' 11"", 170 lbs",Chaos,"72""",Orthodox,American Top Team,,Welterweight
yao-zhikui,,China,2/7/1991 (28),"5' 7"", 125 lbs",The Conqueror,"64.5""",Orthodox,,,Flyweight
milana-dudieva,,Russia,4/8/1989 (30),"5' 5"", 125 lbs",,"61.5""",Orthodox,,,Women's Bantamweight
clay-collard,,USA,3/10/1993 (26),"5' 11"", 155 lbs",Cassius,"73""",Orthodox,The Pit Elevated Fight Team,,Featherweight
valmir-lazaro,,Brazil,8/15/1985 (34),"6' 0"", 155 lbs",Bidu,"73""",Orthodox,Nova Uniao,,Lightweight
chris-heatherly,,USA,11/24/1987 (31),"5' 8"", 170 lbs",Stump,,Orthodox,Fit or Fight,,
joby-sanchez,,USA,6/24/1991 (28),"5' 6"", 135 lbs",,"68""",Orthodox,Jackson-Wink MMA,,Bantamweight
joe-soto,,USA,3/22/1987 (32),"5' 8"", 135 lbs",One Bad Mofo,"65""",Orthodox,Central Valley Combat Academy,,Bantamweight
shayna-baszler,,,,,,,,,,
damon-jackson,,USA,8/8/1988 (31),"5' 11"", 145 lbs",The Leech,"71""",Switch,Fortis MMA,,Featherweight
chris-wade,,USA,9/30/1987 (32),"5' 10"", 155 lbs",,"70.5""",Orthodox,Long Island MMA,,Lightweight
cain-carrizosa,,USA,7/22/1986 (33),"6' 0"", 155 lbs",,"74""",Orthodox,,,Lightweight
tateki-matsuda,,Japan,2/27/1986 (33),"5' 7"", 125 lbs",Tech,"65.5""",Orthodox,,,Flyweight
wendell-oliveira,,Brazil,6/1/1983,,Negao,"72""",Orthodox,,,Welterweight
larissa-pacheco,,Brazil,9/7/1994 (25),"5' 6"", 155 lbs",,"69""",Orthodox,Tata Fight Team,,Women's Bantamweight
rin-nakai,,Japan,10/22/1986 (32),"5' 1"", 125 lbs",,"60.5""",Orthodox,Pancrase Venus,,Women's Bantamweight
masanori-kanehara,,Japan,11/18/1982 (36),"5' 10"", 135 lbs",,"67.5""",Orthodox,,,Bantamweight
johnny-case,,,,,,,,,,
eddie-alvarez,,USA,1/11/1984 (35),"5' 9"", 155 lbs",The Underground King,"69""",Orthodox,Ricardo Almeida Jiu-Jitsu,,Lightweight
jan-blachowicz,,Poland,2/24/1983 (36),"6' 2"", 205 lbs",,"78""",Orthodox,Berkut WCA Fight Team,,Light Heavyweight
scott-askham,,England,1/1/1990 (29),"6' 3"", 185 lbs",,"75""",Southpaw,Ludus Magnus,,Middleweight
charles-rosa,,USA,8/24/1986 (33),"5' 9"", 145 lbs",Boston Strong,"69""",Switch,American Top Team,,Featherweight
marcin-bandel,,Poland,10/10/1989 (30),"5' 10"", 155 lbs",,"70""",Orthodox,Drysdale Jiu-Jitsu,,Lightweight
roman-salazar,,USA,2/21/1988 (31),"5' 7"", 135 lbs",El Gallito,"68""",Orthodox,Fight Ready,,Bantamweight
paul-felder,,USA,4/25/1984 (35),"5' 11"", 155 lbs",The Irish Dragon,"70.5""",Orthodox,Roufusport,,Lightweight
chris-kelades,,Canada,2/21/1981 (38),"5' 7"", 135 lbs",The Greek Assassin,"68""",Orthodox,Fit Plus,,Flyweight
matt-dwyer,,Canada,12/17/1989 (29),"6' 4"", 170 lbs",,"76.5""",Orthodox,Toshida MMA,,Welterweight
christos-giagos,,USA,1/23/1990 (29),"5' 10"", 155 lbs",The Spartan,"71.5""",Orthodox,Black House,,Lightweight
daniel-kelly,,Australia,10/31/1977 (41),"6' 0"", 185 lbs",,"70.5""",Southpaw,Resilience Training Centre,,Middleweight
leon-edwards,,England,8/25/1991 (28),"6' 2"", 170 lbs",Rocky,"74""",Southpaw,UTC Birmingham,,Welterweight
jorge-de-oliveira,,Brazil,1/22/1980,,Blade,"71""",Orthodox,,,Welterweight
